date,open_price,high_price,low_price,close_price,volume,company_id
2023-09-05,325.897,331.691,325.56,330.404,18730541.987449,2
2023-09-06,330.236,331.306,327.065,329.74,17702761.051428,2
2023-09-07,328.165,329.938,325.927,326.798,18556031.853998,2
2023-09-08,326.976,332.989,326.353,331.116,19734316.473467,2
2023-09-11,334.059,335.229,332.266,334.751,16741242.157412,2
2023-09-12,332.647,333.613,328.353,328.64,17732752.961569,2
2023-09-13,328.185,333.672,328.046,332.89,16701959.609786,2
2023-09-14,335.949,337.645,333.395,335.505,20460045.186592,2
2023-09-15,333.742,334.214,326.54,327.105,38038605.668738,2
2023-09-18,324.708,327.283,323.282,325.956,16994515.252566,2
2023-09-19,323.092,326.283,321.449,325.55,16671749.642739,2
2023-09-20,326.403,326.481,317.488,317.744,21640658.774949,2
2023-09-21,316.248,322.281,312.028,316.515,35898992.955045,2
2023-09-22,318.289,318.418,313.168,314.019,21652128.97196,2
2023-09-25,313.604,314.674,312.028,314.544,18005810.682761,2
2023-09-26,312.157,312.9,307.095,309.196,26547997.117177,2
2023-09-27,309.354,311.334,306.77,309.839,19594918.549334,2
2023-09-28,308.056,312.504,306.53,310.681,19871004.838651,2
2023-09-29,314.753,316.457,312.009,312.771,24377245.675547,2
2023-10-02,313.296,318.852,312.207,318.764,20765888.167259,2
2023-10-03,317.804,318.359,308.28,310.434,21233787.809247,2
2023-10-04,311.068,317.02,311.038,315.946,20917455.88764,2
2023-10-05,316.08,316.963,311.93,316.348,17127187.736416,2
2023-10-06,313.564,326.085,313.316,324.173,25918112.489981,2
2023-10-09,321.687,327.185,320.131,326.708,20080597.905261,2
2023-10-10,327.838,327.977,324.578,325.293,20752853.210049,2
2023-10-11,328.085,329.681,326.035,329.285,20254302.439591,2
2023-10-12,327.447,330.482,325.618,328.036,19497010.998991,2
2023-10-13,329.245,330.681,323.282,324.638,21286487.923189,2
2023-10-16,327.927,332.97,327.481,329.501,22369052.628023,2
2023-10-17,326.481,330.315,324.322,328.927,18513155.405531,2
2023-10-18,329.355,332.425,325.203,326.995,23374086.998381,2
2023-10-19,329.016,333.702,327.789,328.195,25290634.564921,2
2023-10-20,328.591,328.79,322.38,323.588,25266046.629837,2
2023-10-23,322.4,329.586,321.33,326.213,24606861.615554,2
2023-10-24,328.175,328.71,324.509,327.412,31450237.369729,2
2023-10-25,341.765,342.935,334.435,337.457,55578089.54589,2
2023-10-26,337.328,338.408,323.857,324.797,38188773.181123,2
2023-10-27,327.308,333.544,325.303,326.698,30140836.950427,2
2023-10-30,330.266,336.248,328.7,334.129,23045467.166369,2
2023-10-31,335.654,335.803,331.532,334.921,20458262.369489,2
2023-11-01,336.585,344.142,336.446,342.806,28426967.219945,2
2023-11-02,343.965,345.538,341.518,345.033,24579931.587787,2
2023-11-03,346.333,351.046,344.053,349.471,23862767.66532,2
2023-11-06,350.116,354.167,350.016,353.167,24055210.960161,2
2023-11-07,356.009,359.041,354.257,357.129,26079939.989647,2
2023-11-08,358.268,360.438,357.149,359.774,27022730.218378,2
2023-11-09,358.883,361.349,356.962,357.288,25083944.885619,2
2023-11-10,358.08,366.608,357.664,366.183,28332420.370698,2
2023-11-13,364.747,364.994,362.449,363.221,20176831.666954,2
2023-11-14,367.511,368.443,363.88,366.778,27947487.34297,2
2023-11-15,368.524,370.36,364.385,366.927,27060951.31695,2
2023-11-16,368.206,373.556,367.433,373.379,27385580.836442,2
2023-11-17,370.837,371.591,364.276,367.104,40626918.909593,2
2023-11-20,368.465,376.058,368.246,374.638,52921768.799918,2
2023-11-21,372.883,373.43,368.366,370.301,28635689.602722,2
2023-11-22,375.194,376.97,372.182,375.046,23535875.91296,2
2023-11-24,374.53,375.164,372.352,374.628,10252748.665211,2
2023-11-27,373.984,377.815,373.409,375.8,22345081.398839,2
2023-11-28,375.542,380.157,375.353,379.86,20606057.726606,2
2023-11-29,380.912,381.447,374.638,376.038,29179983.55227,2
2023-11-30,375.681,377.269,372.683,376.098,30782896.964173,2
2023-12-01,373.964,375.353,368.554,371.731,33287544.37693,2
2023-12-04,366.361,366.778,360.206,366.401,32303070.248468,2
2023-12-05,363.73,370.306,362.908,369.755,23237512.349035,2
2023-12-06,370.768,371.403,365.299,366.062,21340468.79522,2
2023-12-07,365.496,368.695,363.601,368.196,23291743.875336,2
2023-12-08,366.459,371.681,365.496,371.451,20305077.742651,2
2023-12-11,365.745,368.842,363.383,368.544,27915959.50164,2
2023-12-12,368.097,371.641,367.71,371.601,25023990.243932,2
2023-12-13,373.229,374.833,368.018,371.591,31187012.45775,2
2023-12-14,370.539,370.985,361.428,363.214,43601084.256858,2
2023-12-15,364.127,369.636,363.561,367.978,79089354.227208,2
2023-12-18,366.708,370.232,365.943,369.884,21965917.102207,2
2023-12-19,368.732,370.489,367.094,370.489,20757729.490126,2
2023-12-20,372.217,373.239,367.78,367.87,26513442.505517,2
2023-12-21,369.794,371.631,367.294,370.768,17840424.178927,2
2023-12-22,370.906,372.395,369.944,371.801,17235411.553068,2
2023-12-26,372.217,374.142,370.728,371.879,12767817.429063,2
2023-12-27,370.916,372.277,370.044,371.294,15016872.743417,2
2023-12-28,372.583,373.663,371.383,372.494,14434148.550492,2
2023-12-29,373.209,374.361,370.708,373.249,18870904.784353,2
2024-01-02,371.085,373.109,364.049,368.116,25447513.79121,2
2024-01-03,366.272,370.485,365.775,367.85,23256080.166192,2
2024-01-04,367.915,370.33,364.445,365.209,21057800.729042,2
2024-01-05,366.232,369.298,363.78,365.02,21161644.495607,2
2024-01-08,366.558,372.415,366.272,371.909,23306959.813617,2
2024-01-09,369.248,373.199,368.436,373.0,20985716.694873,2
2024-01-10,373.576,381.319,373.526,379.929,25705037.224691,2
