company_id,date,date,open_price,high_price,low_price,close_price,volume
10,2023-11-24,2023-11-24,150.86,152.6794,150.86,152.5,3351448
10,2023-11-27,2023-11-27,152.29,152.32,150.97,151.28,6449740
10,2023-11-28,2023-11-28,151.4,151.81,150.84,151.63,5909044
10,2023-11-29,2023-11-29,151.33,152.2,151.07,152.11,5190026
10,2023-11-30,2023-11-30,152.26,155.14,151.92,154.66,12481867
10,2023-12-01,2023-12-01,156.44,158.46,155.47,158.38,10342901
10,2023-12-04,2023-12-04,158.0,160.02,158.0,158.88,8920279
10,2023-12-05,2023-12-05,158.8,159.63,158.22,158.55,7268151
10,2023-12-06,2023-12-06,158.52,158.6592,156.17,156.62,6642891
10,2023-12-07,2023-12-07,156.58,156.58,154.71,155.4,6532388
10,2023-12-08,2023-12-08,155.42,155.85,153.84,154.42,6254673
10,2023-12-11,2023-12-11,154.5,155.48,154.35,155.06,6090360
10,2023-12-12,2023-12-12,155.0,155.32,153.65,155.07,5324406
10,2023-12-13,2023-12-13,153.66,155.94,151.77,155.79,10764575
10,2023-12-14,2023-12-14,156.47,157.16,155.0474,156.87,9240800
10,2023-12-15,2023-12-15,155.49,156.69,153.76,155.16,21727754
10,2023-12-18,2023-12-18,155.21,156.44,154.76,155.44,7231383
10,2023-12-19,2023-12-19,155.3,156.5,154.94,156.46,6651744
10,2023-12-20,2023-12-20,156.54,156.66,153.11,153.27,7008313
10,2023-12-21,2023-12-21,153.69,155.13,153.3,154.84,4598843
10,2023-12-22,2023-12-22,155.25,156.53,155.02,155.46,3798865
10,2023-12-26,2023-12-26,155.0,156.35,154.85,156.14,4170190
10,2023-12-27,2023-12-27,155.5,156.52,155.42,156.35,5288101
10,2023-12-28,2023-12-28,156.0,157.24,155.99,156.58,4377535
10,2023-12-29,2023-12-29,156.51,156.9,155.98,156.74,4313691
10,2024-01-02,2024-01-02,156.93,161.6393,156.79,159.97,9622108
10,2024-01-03,2024-01-03,160.64,161.44,159.8,160.97,8231987
10,2024-01-04,2024-01-04,161.59,161.98,160.42,160.63,6766641
10,2024-01-05,2024-01-05,160.5,161.34,159.47,161.13,5602564
10,2024-01-08,2024-01-08,161.1,161.66,159.61,161.53,6569810
10,2024-01-09,2024-01-09,161.63,163.28,160.595,161.63,6357014
10,2024-01-10,2024-01-10,161.825,162.62,161.2,161.87,4945088
10,2024-01-11,2024-01-11,162.07,162.199,160.78,161.15,4946015
10,2024-01-12,2024-01-12,161.84,162.47,161.69,162.39,4496942
10,2024-01-16,2024-01-16,161.57,162.25,160.18,160.52,6923174
10,2024-01-17,2024-01-17,160.25,161.3,159.87,160.43,5072104
10,2024-01-18,2024-01-18,160.0,161.37,159.69,161.21,5368502
10,2024-01-19,2024-01-19,161.15,161.9226,160.28,161.68,7071320
10,2024-01-22,2024-01-22,162.0,163.58,161.34,162.47,6824156
10,2024-01-23,2024-01-23,159.66,160.5075,156.91,159.81,9149777
10,2024-01-24,2024-01-24,159.75,160.6,158.16,158.96,7247926
10,2024-01-25,2024-01-25,159.0,159.62,158.47,159.56,5478898
10,2024-01-26,2024-01-26,160.43,160.74,159.3601,159.5,5591930
10,2024-01-29,2024-01-29,159.01,160.0699,158.96,159.36,6483190
10,2024-01-30,2024-01-30,159.35,159.76,158.13,158.77,7200538
10,2024-01-31,2024-01-31,160.4,160.62,158.67,158.9,8257029
10,2024-02-01,2024-02-01,158.16,158.49,157.05,158.36,8012122
10,2024-02-02,2024-02-02,157.97,158.31,155.94,156.61,8295916
10,2024-02-05,2024-02-05,156.61,156.89,155.34,155.8,9121808
10,2024-02-06,2024-02-06,155.83,158.73,155.6,158.06,9230611
10,2024-02-07,2024-02-07,157.8,159.37,157.69,157.98,8690294
10,2024-02-08,2024-02-08,157.34,157.34,155.31,156.4,9754960
10,2024-02-09,2024-02-09,156.27,157.2,155.67,156.76,6529202
10,2024-02-12,2024-02-12,156.58,158.41,156.35,157.85,6701508
10,2024-02-13,2024-02-13,157.64,158.45,155.75,156.47,8621022
10,2024-02-14,2024-02-14,156.35,156.46,154.84,155.74,9098805
10,2024-02-15,2024-02-15,155.98,158.475,155.89,157.92,7462529
10,2024-02-16,2024-02-16,156.6,157.255,155.67,156.55,8540961
10,2024-02-20,2024-02-20,156.56,158.61,156.44,157.86,9501742
10,2024-02-21,2024-02-21,158.02,158.69,157.1312,158.68,7473300
10,2024-02-22,2024-02-22,158.98,160.74,157.77,160.45,8065010
10,2024-02-23,2024-02-23,160.88,162.25,160.16,161.84,6725963
10,2024-02-26,2024-02-26,161.8,162.01,160.57,160.79,5465417
10,2024-02-27,2024-02-27,160.34,161.04,159.64,160.98,5078650
10,2024-02-28,2024-02-28,161.0,161.61,160.29,161.55,6071076
10,2024-02-29,2024-02-29,162.0,162.19,160.94,161.38,9849270
10,2024-03-01,2024-03-01,161.83,162.57,161.09,162.12,5670135
10,2024-03-04,2024-03-04,161.32,161.61,158.27,159.84,8533083
10,2024-03-05,2024-03-05,160.62,161.24,159.2,159.97,8298182
10,2024-03-06,2024-03-06,159.46,160.93,159.22,159.34,5773683
10,2024-03-07,2024-03-07,160.0,160.36,158.24,158.87,5188726
10,2024-03-08,2024-03-08,158.87,160.39,158.425,159.52,5283951
10,2024-03-11,2024-03-11,159.49,161.32,158.88,161.23,4620826
10,2024-03-12,2024-03-12,161.58,163.11,161.13,162.74,8018736
10,2024-03-13,2024-03-13,162.53,162.68,159.81,161.1,6260000
10,2024-03-14,2024-03-14,160.94,161.54,158.69,159.21,6988264
10,2024-03-15,2024-03-15,158.06,159.19,157.1,158.18,13165500
10,2024-03-18,2024-03-18,158.57,158.69,156.5,156.76,6602255
10,2024-03-19,2024-03-19,156.67,156.86,155.66,156.21,7840624
10,2024-03-20,2024-03-20,155.7,156.44,155.21,155.76,5982304
10,2024-03-21,2024-03-21,155.59,156.95,155.1,155.75,5915777
10,2024-03-22,2024-03-22,155.69,156.36,155.11,155.23,7248622
10,2024-03-25,2024-03-25,155.4,155.9836,154.9,155.22,7498100
10,2024-03-26,2024-03-26,155.61,156.23,154.76,155.77,6864099
10,2024-03-27,2024-03-27,155.99,158.22,155.44,157.96,8461600
10,2024-03-28,2024-03-28,158.2,159.14,158.11,158.19,6181503
10,2024-04-01,2024-04-01,157.72,158.15,156.77,157.78,4364699
10,2024-04-02,2024-04-02,156.57,157.83,155.95,157.73,6102497
10,2024-04-03,2024-04-03,157.79,158.05,154.25,154.26,8098242
10,2024-04-04,2024-04-04,155.31,155.5,152.41,152.5,6947423
10,2024-04-05,2024-04-05,152.03,153.01,151.61,152.39,6783020
10,2024-04-08,2024-04-08,151.99,153.035,151.56,151.59,5935415
10,2024-04-09,2024-04-09,151.55,152.5301,150.94,152.29,6135556
10,2024-04-10,2024-04-10,151.53,151.82,149.76,150.2,6809519
10,2024-04-11,2024-04-11,150.8,150.87,148.39,148.79,8374434
10,2024-04-12,2024-04-12,148.06,149.065,147.15,147.52,7100178
10,2024-04-15,2024-04-15,148.37,149.49,147.37,147.59,8502266
10,2024-04-16,2024-04-16,145.01,146.25,143.39,144.45,12774859
10,2024-04-17,2024-04-17,145.0,145.41,143.54,144.77,9378059
10,2024-04-18,2024-04-18,144.98,145.8,143.13,145.74,9887704
10,2024-04-19,2024-04-19,146.15,148.13,144.55,147.91,9747587
10,2024-04-22,2024-04-22,148.51,150.27,147.3,149.12,10118694
10,2024-04-23,2024-04-23,149.86,150.49,148.2,149.56,10110442
10,2024-04-24,2024-04-24,148.14,148.99,146.86,148.53,9756259
10,2024-04-25,2024-04-25,149.37,149.58,146.33,146.82,7642732
10,2024-04-26,2024-04-26,146.7,147.175,145.95,146.14,6182982
10,2024-04-29,2024-04-29,146.14,147.22,145.985,146.82,6461588
10,2024-04-30,2024-04-30,146.88,146.88,144.53,144.59,8817719
10,2024-05-01,2024-05-01,148.735,151.85,147.62,151.18,14473711
10,2024-05-02,2024-05-02,152.04,152.33,149.14,149.92,8459796
10,2024-05-03,2024-05-03,149.89,149.89,147.82,149.27,6532718
10,2024-05-06,2024-05-06,149.87,150.05,147.91,148.58,5042757
10,2024-05-07,2024-05-07,149.38,149.73,148.45,148.72,7333730
10,2024-05-08,2024-05-08,149.12,149.73,148.7,148.95,7735148
10,2024-05-09,2024-05-09,148.98,150.1,148.89,149.85,6546153
10,2024-05-10,2024-05-10,150.0,150.09,149.19,149.91,5710566
10,2024-05-13,2024-05-13,150.04,152.0,149.705,151.22,5628467
10,2024-05-14,2024-05-14,151.85,152.21,150.7,151.38,8254171
10,2024-05-15,2024-05-15,151.82,152.95,151.3,152.67,5547955
10,2024-05-16,2024-05-16,153.0,154.38,152.33,154.28,7590959
10,2024-05-17,2024-05-17,154.86,154.86,153.7129,154.64,6521794
10,2024-05-20,2024-05-20,153.1,153.39,151.26,151.27,7742280
10,2024-05-21,2024-05-21,151.78,152.585,150.785,151.24,5492354
10,2024-05-22,2024-05-22,150.84,154.08,150.32,153.5,6609788
10,2024-05-23,2024-05-23,152.75,152.84,149.375,149.7,8000422
10,2024-05-24,2024-05-24,149.53,149.8139,146.76,146.97,9520576
10,2024-05-28,2024-05-28,146.79,146.79,144.1502,144.38,10499829
10,2024-05-29,2024-05-29,143.82,145.415,143.71,144.44,8263810
10,2024-05-30,2024-05-30,144.62,145.61,144.02,145.28,8491111
10,2024-05-31,2024-05-31,145.57,147.48,145.19,146.67,14621203
10,2024-06-03,2024-06-03,147.25,148.9,146.77,147.74,7329241
10,2024-06-04,2024-06-04,147.48,148.31,146.19,147.8,8876441
10,2024-06-05,2024-06-05,147.97,147.99,145.855,145.97,5891299
10,2024-06-06,2024-06-06,145.5,147.0,144.66,146.42,5016301
10,2024-06-07,2024-06-07,146.68,148.3,146.34,147.08,5111626
10,2024-06-10,2024-06-10,146.53,147.56,145.6,147.13,5751309
10,2024-06-11,2024-06-11,146.81,147.16,145.44,146.76,5661236
10,2024-06-12,2024-06-12,147.06,147.21,144.78,145.41,6180493
10,2024-06-13,2024-06-13,145.07,146.0,143.88,145.45,6840374
10,2024-06-14,2024-06-14,145.14,145.97,144.48,145.54,4075342
10,2024-06-17,2024-06-17,145.02,146.43,144.74,145.95,6666583
10,2024-06-18,2024-06-18,145.96,146.39,145.265,145.65,6156572
10,2024-06-20,2024-06-20,145.27,148.08,145.01,147.78,8749717
10,2024-06-21,2024-06-21,147.89,149.08,147.37,148.75,15176869
10,2024-06-24,2024-06-24,149.0,149.7199,148.17,149.12,6914671
10,2024-06-25,2024-06-25,149.18,149.2,146.94,147.19,6620303
10,2024-06-26,2024-06-26,146.2,147.19,145.78,146.87,5267809
10,2024-06-27,2024-06-27,146.8,147.36,144.84,145.8,5739246
10,2024-06-28,2024-06-28,146.04,147.07,145.65,146.16,10495735
10,2024-07-01,2024-07-01,146.07,148.7,145.6201,146.44,5144443
10,2024-07-02,2024-07-02,146.43,147.15,145.74,146.03,5491962
10,2024-07-03,2024-07-03,146.2,146.65,144.74,145.69,3246157
10,2024-07-05,2024-07-05,145.77,146.55,144.5,146.48,4888535
10,2024-07-08,2024-07-08,146.4,147.22,145.25,145.48,5260229
10,2024-07-09,2024-07-09,145.67,147.13,145.18,147.05,5892187
10,2024-07-10,2024-07-10,147.26,149.47,146.68,149.43,6093187
10,2024-07-11,2024-07-11,149.58,150.58,148.64,149.7,6352109
10,2024-07-12,2024-07-12,150.0,150.88,149.24,149.88,5336394
10,2024-07-15,2024-07-15,150.08,150.25,148.87,149.24,6711354
10,2024-07-16,2024-07-16,149.69,151.08,149.16,151.01,6469582
10,2024-07-17,2024-07-17,151.55,157.49,151.415,156.58,13801429
10,2024-07-18,2024-07-18,155.6,157.07,154.62,155.42,10166247
10,2024-07-19,2024-07-19,156.51,156.51,154.12,154.69,7398036
10,2024-07-22,2024-07-22,154.77,155.11,153.59,154.24,6840609
10,2024-07-23,2024-07-23,153.31,153.5,151.57,152.35,6261870
10,2024-07-24,2024-07-24,152.76,156.41,152.33,156.28,7168217
10,2024-07-25,2024-07-25,156.48,160.58,156.0,159.64,10019578
10,2024-07-26,2024-07-26,159.75,161.58,159.4724,160.64,8356878
10,2024-07-29,2024-07-29,159.97,160.0,158.05,158.56,5625204
10,2024-07-30,2024-07-30,158.54,161.55,158.36,161.33,6545677
10,2024-07-31,2024-07-31,159.85,160.35,157.74,157.85,8293239
10,2024-08-01,2024-08-01,158.48,160.81,157.71,160.76,7213419
10,2024-08-02,2024-08-02,161.9,164.85,161.0,164.14,11280357
10,2024-08-05,2024-08-05,163.795,165.78,160.58,161.25,12032209
10,2024-08-06,2024-08-06,161.05,161.48,158.94,158.97,7607144
10,2024-08-07,2024-08-07,158.87,160.615,158.19,158.9,5993028
10,2024-08-08,2024-08-08,158.57,160.7,158.03,160.22,5094830
10,2024-08-09,2024-08-09,160.12,160.93,159.34,160.62,4579186
10,2024-08-12,2024-08-12,160.97,161.7,158.71,159.88,7605419
10,2024-08-13,2024-08-13,160.27,160.37,156.44,158.39,9711395
10,2024-08-14,2024-08-14,157.83,159.55,157.4,158.48,5141249
10,2024-08-15,2024-08-15,158.37,159.495,157.84,159.09,7237785
10,2024-08-16,2024-08-16,159.14,159.94,158.18,159.39,5012774
10,2024-08-19,2024-08-19,159.46,160.295,159.13,159.63,4408517
10,2024-08-20,2024-08-20,160.0,160.93,159.67,160.16,7275133
10,2024-08-21,2024-08-21,160.4,161.48,160.31,161.43,5019375
10,2024-08-22,2024-08-22,162.0,162.49,160.79,162.35,6552142
10,2024-08-23,2024-08-23,162.5,164.22,161.695,164.13,7093429
10,2024-08-26,2024-08-26,164.17,165.71,163.54,164.61,6870622
10,2024-08-27,2024-08-27,163.5,164.035,162.16,162.95,4388728
10,2024-08-28,2024-08-28,163.0,165.0,162.71,163.92,5187198
10,2024-08-29,2024-08-29,164.63,164.72,163.36,164.23,7390125
10,2024-08-30,2024-08-30,164.12,165.98,163.81,165.86,7971017
10,2024-09-03,2024-09-03,165.24,167.81,164.77,167.16,6956452
10,2024-09-04,2024-09-04,167.81,168.85,166.04,167.36,6939132
10,2024-09-05,2024-09-05,167.2,167.37,164.83,164.99,4600392
10,2024-09-06,2024-09-06,165.18,165.9399,164.12,164.38,6016884
10,2024-09-09,2024-09-09,164.84,167.405,164.47,166.61,7538233
10,2024-09-10,2024-09-10,167.5,168.46,166.745,167.38,6559734
