date,open_price,high_price,low_price,close_price,volume,company_id
2023-11-30,154.91,156.13,154.381,156.08,9869790,4
2023-12-01,155.82,157.86,155.82,156.84,8916001,4
2023-12-04,156.02,158.05,155.88,157.99,9607465,4
2023-12-05,157.26,158.5,156.97,157.97,9135597,4
2023-12-06,158.84,159.22,156.0,156.31,9366004,4
2023-12-07,156.69,157.31,156.15,156.79,8130874,4
2023-12-08,157.26,158.78,156.98,158.52,7369370,4
2023-12-11,158.52,159.3,158.15,159.1,8093908,4
2023-12-12,159.23,160.645,158.88,160.52,10222978,4
2023-12-13,160.52,162.03,159.77,161.06,12379098,4
2023-12-14,161.83,164.8399,161.705,163.99,13642990,4
2023-12-15,163.08,165.28,162.39,165.23,20309348,4
2023-12-18,165.92,167.13,165.63,166.23,8469608,4
2023-12-19,166.0,168.47,165.55,168.45,10345691,4
2023-12-20,167.99,169.41,166.45,166.55,10734709,4
2023-12-21,166.84,168.09,165.675,167.5,7601678,4
2023-12-22,167.5,168.23,167.23,167.4,6576322,4
2023-12-26,167.46,168.765,167.18,168.39,4683605,4
2023-12-27,167.84,169.47,167.58,169.4,6428643,4
2023-12-28,169.35,170.66,168.995,170.3,6320129,4
2023-12-29,170.0,170.69,169.63,170.1,6435102,4
2024-01-02,169.09,172.17,168.91,172.08,9977424,4
2024-01-03,171.86,172.04,170.37,171.33,9852335,4
2024-01-04,170.64,173.35,170.54,171.41,11972545,4
2024-01-05,171.47,173.38,171.47,172.27,10066029,4
2024-01-08,172.02,172.36,169.485,172.02,11229916,4
2024-01-09,171.62,171.79,170.095,170.66,9923630,4
2024-01-10,170.0,171.08,168.95,171.02,9670218,4
2024-01-11,170.33,170.36,168.6401,170.3,11919498,4
2024-01-12,173.8,176.31,168.9,169.05,19436504,4
2024-01-16,164.87,168.09,164.3,167.99,17206420,4
2024-01-17,167.34,169.07,166.49,167.09,11107466,4
2024-01-18,167.12,167.53,165.24,167.42,9382255,4
2024-01-19,167.55,170.57,167.08,170.31,13115664,4
2024-01-22,170.46,171.9803,169.71,170.11,12837505,4
2024-01-23,169.67,169.75,168.44,168.99,8360829,4
2024-01-24,169.36,171.01,168.8627,170.5,9967060,4
2024-01-25,172.31,172.99,170.905,172.94,8873481,4
2024-01-26,172.61,173.06,171.78,172.28,7442955,4
2024-01-29,172.24,172.84,171.3,172.73,6971192,4
2024-01-30,172.83,176.7603,172.83,176.27,10822075,4
2024-01-31,176.2,178.3,174.34,174.36,11521820,4
2024-02-01,173.64,174.84,171.43,173.73,9354798,4
2024-02-02,173.3,175.8162,173.26,174.73,8607839,4
2024-02-05,173.86,175.09,172.92,174.5,7820160,4
2024-02-06,174.61,175.87,173.76,175.1,6765684,4
2024-02-07,175.69,175.87,173.96,175.43,7225478,4
2024-02-08,175.0,175.3058,173.57,174.8,6060285,4
2024-02-09,175.0,175.1,173.6731,175.01,6296729,4
2024-02-12,174.78,176.808,173.7,175.79,8539316,4
2024-02-13,175.32,176.2299,172.615,174.26,8397631,4
2024-02-14,175.07,176.1,174.42,176.03,7056664,4
2024-02-15,176.15,180.21,176.15,179.87,8723390,4
2024-02-16,179.61,179.98,178.16,179.03,8152647,4
2024-02-20,179.19,180.46,178.405,179.73,9667959,4
2024-02-21,179.95,180.99,178.52,180.9,7027857,4
2024-02-22,181.82,183.42,181.24,183.07,9296459,4
2024-02-23,183.81,185.2,183.19,183.99,7105833,4
2024-02-26,183.75,184.46,182.48,183.36,7145391,4
2024-02-27,183.31,183.54,182.24,183.45,5717065,4
2024-02-28,183.43,185.2,182.96,184.38,6131608,4
2024-02-29,185.66,186.43,183.85,186.06,9643012,4
2024-03-01,185.7,186.44,185.1,185.29,6311996,4
2024-03-04,184.71,187.59,184.27,186.68,7063605,4
2024-03-05,186.36,189.3,186.36,188.55,6617832,4
2024-03-06,189.25,190.07,187.63,189.53,7572891,4
